n	expression
1	((((0x1+0x23)-0x45)-0x67)+0x89)
2	(((((0x1*0x23)+0x45)-0x67)-0x8)+0x9)
3	(((((0x1+0x23)+0x45)-0x67)-0x8)+0x9)
4	(((((0x12+0x3)+0x45)-0x67)+0x8)+0x9)
5	((((0x12-0x34)+0x5)-0x67)+0x89)
6	(((0x1+0x23)-0x456)+(0x78*0x9))
7	(((0x123-(0x45*0x6))-0x7)+0x89)
8	(((((0x1*0x2)-0x34)-0x56)+0x7)+0x89)
9	((((0x1*0x2)*0x345)-0x678)-0x9)
10	((((0x12-0x34)-0x56)-0x7)+0x89)
11	(((((0x1*0x2)+0x34)+0x56)-0x78)-0x9)
12	((((0x12+0x34)+0x56)-0x7)-0x89)
13	(((((0x1-0x23)+0x4)-0x56)+0x78)+0x9)
14	(((0x12-0x345)+(0x67*0x8))+0x9)
15	(((((0x1*0x2)+0x34)-0x5)+0x67)-0x89)
16	(((((0x1+0x2)+0x34)-0x5)+0x67)-0x89)
17	(((((0x1*0x23)+0x45)-0x67)*0x8)+0x9)
18	(((((0x1*0x23)+0x45)-0x67)+0x8)+0x9)
19	((((0x12*0x3)-0x45)-0x67)+0x89)
20	(((((0x1-0x23)-0x4)-0x56)+0x7)+0x89)
21	(((0x123-(0x45*0x6))+0x7)+0x89)
22	(((0x12+0x345)-(0x67*0x8))-0x9)
23	((((0x1+0x2)+(0x34*0x5))-0x67)-0x89)
24	((((0x12-0x34)-0x56)+0x7)+0x89)
25	((((0x12+0x34)-0x56)*0x7)+0x89)
26	((((0x12+0x34)+0x56)+0x7)-0x89)
27	((((0x1*0x2)*0x345)-0x678)+0x9)
28	(((0x1+(0x2*0x345))-0x678)+0x9)
29	(((((0x1*0x2)+0x34)+0x56)-0x78)+0x9)
30	(((((0x1*0x2)+0x34)*0x5)-0x67)-0x89)
31	((((0x12+0x34)-0x5)+0x67)-0x89)
32	(((((0x1-0x2)*0x3)+0x45)+0x67)-0x89)
33	(((((0x1-0x2)*0x3)*0x45)+0x67)+0x89)
34	(((((0x1*0x2)-0x3)+0x45)+0x67)-0x89)
35	(((((0x1+0x2)+0x34)*0x5)-0x67)-0x89)
36	((0x12-0x345)+((0x67-0x8)*0x9))
37	(((((0x1-0x2)+0x3)+0x45)+0x67)-0x89)
38	(((0x12+(0x34*0x5))-0x67)-0x89)
39	(((((0x12*0x3)-0x45)*0x6)+0x78)+0x9)
40	(((0x12+0x345)-(0x67*0x8))+0x9)
41	((((0x12+0x34)+0x5)+0x67)-0x89)
42	((((0x123-0x4)-0x5)-0x67)-0x89)
43	(((0x123-0x45)-(0x6*0x7))-0x89)
44	(((((0x1+0x2)*0x3)+0x45)+0x67)-0x89)
45	((((0x12+0x34)+0x56)-0x78)+0x9)
46	(((((0x1*0x2)*0x34)+0x56)-0x7)-0x89)
47	(((0x123-0x45)-0x67)-(0x8*0x9))
48	(((((0x12-0x3)+0x4)-0x5)-0x67)+0x89)
49	((((0x1*0x23)-(0x4*0x5))-0x67)+0x89)
50	((((0x12-0x3)+0x45)+0x67)-0x89)
51	(((0x12+0x3)+0x456)-(0x78*0x9))
52	((((0x123-0x4)+0x5)-0x67)-0x89)
53	((0x12+(0x3*(0x45-0x67)))+0x89)
54	(((((0x1+0x23)+0x4)+0x56)-0x78)*0x9)
55	(((((0x12+0x3)*0x4)+0x5)+0x67)-0x89)
56	((((0x12+0x3)+0x45)+0x67)-0x89)
57	((((0x123-0x4)-0x56)-0x7)-0x89)
58	(((0x123-(0x4*0x56))+0x78)-0x9)
59	(0x123+(0x4*((0x56-0x7)-0x89)))
60	((((0x123+0x4)+0x5)-0x67)-0x89)
61	(((((0x1*0x2)*0x34)+0x56)-0x78)-0x9)
62	(((((0x12-0x3)+0x4)-0x56)+0x78)+0x9)
63	(((0x12*0x34)+0x56)-(0x7*0x89))
64	(((((0x1*0x23)+0x4)-0x56)+0x78)-0x9)
65	((((0x123+0x4)-0x56)-0x7)-0x89)
66	(((0x1+0x23)+0x456)-(0x78*0x9))
67	((((0x1+0x234)-(0x5*0x67))+0x8)+0x9)
68	(((((0x1*0x23)+0x4)-0x5)-0x67)+0x89)
69	((((0x1-0x23)+0x45)-0x67)+0x89)
70	((((0x1*0x23)+0x45)+0x67)-0x89)
71	((((0x1+0x23)+0x45)+0x67)-0x89)
72	((((0x123-0x4)-0x56)-0x78)-0x9)
73	(((((0x12-0x34)+0x5)+0x67)+0x8)-0x9)
74	(((((0x1*0x23)-0x4)-0x56)+0x78)+0x9)
75	((0x12+0x345)+(0x6*(0x7-0x89)))
76	(((0x123-(0x4*0x56))+0x78)+0x9)
77	(((0x123-(0x4*0x56))-0x7)+0x89)
78	(((((0x1*0x23)+0x4)+0x5)-0x67)+0x89)
79	((((0x123+0x4)-0x56)+0x7)-0x89)
80	((((0x123+0x4)-0x56)-0x78)-0x9)
81	((0x12+0x345)-(0x6*(0x78+0x9)))
82	(((((0x1*0x23)*0x4)+0x56)-0x7)-0x89)
83	(((((0x1*0x2)+0x34)-0x5)-0x67)+0x89)
84	((((0x123-0x45)+0x6)-0x7)-0x89)
85	((0x123+(0x45*(0x6-0x7)))-0x89)
86	((((0x123-0x45)-0x6)+0x7)-0x89)
87	((((0x123-0x45)-0x6)-0x78)-0x9)
88	(((((0x12+0x3)-0x45)+0x6)-0x7)+0x89)
89	((((0x12*0x3)+0x45)+0x67)-0x89)
90	((((0x123-0x4)-0x56)-0x78)+0x9)
91	(((0x123-(0x4*0x56))+0x7)+0x89)
92	((((0x12*0x3)+0x45)-0x67)+(0x8*0x9))
93	(((((0x1*0x2)+0x34)+0x5)-0x67)+0x89)
94	(((((0x1+0x2)+0x34)+0x5)-0x67)+0x89)
95	((((0x12+0x34)-0x56)+0x78)-0x9)
